Field,Topic,Keyword,Related Word,Weight
政治,糧食安全,全球暖化,全球暖化,1.0
政治,糧食安全,全球暖化,新書,0.990417
政治,糧食安全,全球暖化,不願,0.99023
政治,糧食安全,全球暖化,威脅,0.990012
政治,糧食安全,全球暖化,對抗,0.989947
政治,糧食安全,全球暖化,關注,0.98963
政治,糧食安全,全球暖化,聯合國,0.989614
政治,糧食安全,全球暖化,思考,0.989536
政治,糧食安全,全球暖化,警訊,0.989505
政治,糧食安全,全球暖化,布告,0.989473
政治,糧食安全,全球暖化,可能,0.98939
政治,糧食安全,全球暖化,還是,0.989374
政治,糧食安全,全球暖化,因應,0.98931
政治,糧食安全,全球暖化,減緩,0.989244
政治,糧食安全,全球暖化,加速,0.989234
政治,糧食安全,全球暖化,書訊,0.989161
政治,糧食安全,全球暖化,浩劫,0.989027
政治,糧食安全,全球暖化,最熱,0.988992
政治,糧食安全,全球暖化,報告,0.988983
政治,糧食安全,全球暖化,科學家,0.988891
政治,糧食安全,全球暖化,一年,0.98886
政治,糧食安全,全球暖化,情報,0.98881
政治,糧食安全,全球暖化,史上,0.988794
政治,糧食安全,全球暖化,加劇,0.988791
政治,糧食安全,全球暖化,真相,0.988749
政治,糧食安全,全球暖化,中油,0.988684
政治,糧食安全,全球暖化,沒有,0.988664
政治,糧食安全,全球暖化,天氣,0.988642
政治,糧食安全,全球暖化,提早,0.988617
政治,糧食安全,全球暖化,只有,0.988584
政治,糧食安全,全球暖化,地球日,0.988549
政治,糧食安全,全球暖化,幸福,0.988548
政治,糧食安全,全球暖化,真正,0.98853
政治,糧食安全,全球暖化,環保局,0.988478
政治,糧食安全,全球暖化,高爾,0.988452
政治,糧食安全,全球暖化,改變,0.988375
政治,糧食安全,全球暖化,紀錄,0.988354
政治,糧食安全,全球暖化,生存,0.988338
政治,糧食安全,全球暖化,滅絕,0.988318
政治,糧食安全,全球暖化,好了嗎,0.988317
政治,糧食安全,全球暖化,人心,0.988284
政治,糧食安全,全球暖化,最佳,0.988257
政治,糧食安全,全球暖化,災難,0.988248
政治,糧食安全,全球暖化,基因,0.988226
政治,糧食安全,全球暖化,一周,0.988216
政治,糧食安全,全球暖化,石油,0.988192
政治,糧食安全,全球暖化,夏季,0.988186
政治,糧食安全,全球暖化,需要,0.988174
政治,糧食安全,全球暖化,不能,0.988154
政治,糧食安全,全球暖化,計劃,0.988136
政治,糧食安全,全球暖化,正視,0.988092
政治,糧食安全,全球暖化,日本,0.988072
政治,糧食安全,全球暖化,氣候變化,0.988052
政治,糧食安全,全球暖化,極端,0.988048
政治,糧食安全,全球暖化,電影,0.988022
政治,糧食安全,全球暖化,探討,0.987989
政治,糧食安全,全球暖化,催生,0.987983
政治,糧食安全,全球暖化,內閣,0.987963
政治,糧食安全,全球暖化,熱帶,0.987957
政治,糧食安全,全球暖化,種子,0.987927
政治,糧食安全,全球暖化,每年,0.98792
政治,糧食安全,全球暖化,課題,0.987904
政治,糧食安全,全球暖化,保育,0.987883
政治,糧食安全,全球暖化,對策,0.987878
政治,糧食安全,全球暖化,工作,0.987859
政治,糧食安全,全球暖化,紀錄片,0.987849
政治,糧食安全,全球暖化,挑戰,0.98781
政治,糧食安全,全球暖化,領袖,0.9878
