Field,Topic,Keyword,Related Word,Weight
政治,與鄰國的領土糾紛,中國崛起,中國崛起,1.0
政治,與鄰國的領土糾紛,中國崛起,世界,0.908544
政治,與鄰國的領土糾紛,中國崛起,考驗,0.899893
政治,與鄰國的領土糾紛,中國崛起,文化,0.879615
政治,與鄰國的領土糾紛,中國崛起,選舉,0.874358
政治,與鄰國的領土糾紛,中國崛起,西方,0.874
政治,與鄰國的領土糾紛,中國崛起,第一,0.870203
政治,與鄰國的領土糾紛,中國崛起,專論,0.864136
政治,與鄰國的領土糾紛,中國崛起,策略,0.863901
政治,與鄰國的領土糾紛,中國崛起,崛起,0.858492
政治,與鄰國的領土糾紛,中國崛起,契機,0.858437
政治,與鄰國的領土糾紛,中國崛起,困境,0.856074
政治,與鄰國的領土糾紛,中國崛起,改變,0.855935
政治,與鄰國的領土糾紛,中國崛起,講堂,0.855034
政治,與鄰國的領土糾紛,中國崛起,我見,0.854221
政治,與鄰國的領土糾紛,中國崛起,霸權,0.849388
政治,與鄰國的領土糾紛,中國崛起,機會,0.847585
政治,與鄰國的領土糾紛,中國崛起,如何,0.847524
政治,與鄰國的領土糾紛,中國崛起,面對,0.846255
政治,與鄰國的領土糾紛,中國崛起,時代,0.845676
政治,與鄰國的領土糾紛,中國崛起,分析,0.845353
政治,與鄰國的領土糾紛,中國崛起,必須,0.844342
政治,與鄰國的領土糾紛,中國崛起,力量,0.837005
政治,與鄰國的領土糾紛,中國崛起,一路,0.836702
政治,與鄰國的領土糾紛,中國崛起,中心,0.831089
政治,與鄰國的領土糾紛,中國崛起,應對,0.830256
政治,與鄰國的領土糾紛,中國崛起,之二,0.830193
政治,與鄰國的領土糾紛,中國崛起,我思,0.828151
政治,與鄰國的領土糾紛,中國崛起,模式,0.826719
政治,與鄰國的領土糾紛,中國崛起,強國,0.825566
政治,與鄰國的領土糾紛,中國崛起,領導,0.822651
政治,與鄰國的領土糾紛,中國崛起,值得,0.821764
政治,與鄰國的領土糾紛,中國崛起,全球化,0.820094
政治,與鄰國的領土糾紛,中國崛起,什麼,0.81997
政治,與鄰國的領土糾紛,中國崛起,思維,0.819103
政治,與鄰國的領土糾紛,中國崛起,世紀,0.814523
政治,與鄰國的領土糾紛,中國崛起,需要,0.814202
政治,與鄰國的領土糾紛,中國崛起,突破,0.810178
政治,與鄰國的領土糾紛,中國崛起,平衡,0.810131
政治,與鄰國的領土糾紛,中國崛起,一個,0.809442
政治,與鄰國的領土糾紛,中國崛起,意識,0.808862
政治,與鄰國的領土糾紛,中國崛起,環境,0.807365
政治,與鄰國的領土糾紛,中國崛起,兩手,0.8065
政治,與鄰國的領土糾紛,中國崛起,經驗,0.805403
政治,與鄰國的領土糾紛,中國崛起,影響力,0.803914
政治,與鄰國的領土糾紛,中國崛起,自信,0.801195
政治,與鄰國的領土糾紛,中國崛起,環保,0.801139
政治,與鄰國的領土糾紛,中國崛起,就是,0.799231
政治,與鄰國的領土糾紛,中國崛起,夥伴關係,0.79905
政治,與鄰國的領土糾紛,中國崛起,全民,0.798144
政治,與鄰國的領土糾紛,中國崛起,重要,0.797073
政治,與鄰國的領土糾紛,中國崛起,成功,0.796152
政治,與鄰國的領土糾紛,中國崛起,思考,0.795348
政治,與鄰國的領土糾紛,中國崛起,軍力,0.795041
政治,與鄰國的領土糾紛,中國崛起,洪秀柱,0.79487
政治,與鄰國的領土糾紛,中國崛起,中國,0.794783
政治,與鄰國的領土糾紛,中國崛起,政經,0.793536
政治,與鄰國的領土糾紛,中國崛起,機遇,0.793324
政治,與鄰國的領土糾紛,中國崛起,推動,0.792809
政治,與鄰國的領土糾紛,中國崛起,王道,0.792538
政治,與鄰國的領土糾紛,中國崛起,民主,0.792102
政治,與鄰國的領土糾紛,中國崛起,博弈,0.791884
政治,與鄰國的領土糾紛,中國崛起,能源,0.790235
政治,與鄰國的領土糾紛,中國崛起,分享,0.789724
政治,與鄰國的領土糾紛,中國崛起,競逐,0.78834
政治,與鄰國的領土糾紛,中國崛起,塑造,0.787667
政治,與鄰國的領土糾紛,中國崛起,因應,0.787651
政治,與鄰國的領土糾紛,中國崛起,最後,0.786282
政治,與鄰國的領土糾紛,中國崛起,拓展,0.786076
政治,與鄰國的領土糾紛,中國崛起,調整,0.785819
政治,與鄰國的領土糾紛,中國崛起,制衡,0.784864
政治,與鄰國的領土糾紛,中國崛起,李光耀,0.783195
政治,與鄰國的領土糾紛,中國崛起,大選,0.781838
政治,與鄰國的領土糾紛,中國崛起,促進,0.780269
政治,與鄰國的領土糾紛,中國崛起,上海,0.780254
政治,與鄰國的領土糾紛,中國崛起,一生,0.780235
政治,與鄰國的領土糾紛,中國崛起,令人,0.778318
政治,與鄰國的領土糾紛,中國崛起,不再,0.77631
政治,與鄰國的領土糾紛,中國崛起,主動,0.775913
政治,與鄰國的領土糾紛,中國崛起,一廂情願,0.775891
政治,與鄰國的領土糾紛,中國崛起,棋子,0.775285
政治,與鄰國的領土糾紛,中國崛起,天下,0.774954
政治,與鄰國的領土糾紛,中國崛起,帶來,0.774098
政治,與鄰國的領土糾紛,中國崛起,改革,0.773338
政治,與鄰國的領土糾紛,中國崛起,學習,0.773116
政治,與鄰國的領土糾紛,中國崛起,大國,0.772704
政治,與鄰國的領土糾紛,中國崛起,焦慮,0.772236
政治,與鄰國的領土糾紛,中國崛起,夥伴,0.771847
政治,與鄰國的領土糾紛,中國崛起,來臨,0.770975
政治,與鄰國的領土糾紛,中國崛起,怎麼,0.769528
政治,與鄰國的領土糾紛,中國崛起,務實,0.769066
政治,與鄰國的領土糾紛,中國崛起,之道,0.769044
政治,與鄰國的領土糾紛,中國崛起,嚴峻,0.768265
政治,與鄰國的領土糾紛,中國崛起,信任,0.768207
政治,與鄰國的領土糾紛,中國崛起,十八,0.768029
政治,與鄰國的領土糾紛,中國崛起,檢討,0.767993
政治,與鄰國的領土糾紛,中國崛起,飯店,0.767799
政治,與鄰國的領土糾紛,中國崛起,財經,0.767222
政治,與鄰國的領土糾紛,中國崛起,實現,0.766778
政治,與鄰國的領土糾紛,中國崛起,未來,0.766739
政治,與鄰國的領土糾紛,中國崛起,差異,0.766024
政治,與鄰國的領土糾紛,中國崛起,高手,0.765258
政治,與鄰國的領土糾紛,中國崛起,靠攏,0.765198
政治,與鄰國的領土糾紛,中國崛起,競合,0.764966
政治,與鄰國的領土糾紛,中國崛起,一帶,0.764925
政治,與鄰國的領土糾紛,中國崛起,成就,0.764538
政治,與鄰國的領土糾紛,中國崛起,台灣成,0.763799
政治,與鄰國的領土糾紛,中國崛起,認同,0.762817
政治,與鄰國的領土糾紛,中國崛起,新書,0.762746
政治,與鄰國的領土糾紛,中國崛起,島鏈,0.761528
政治,與鄰國的領土糾紛,中國崛起,美中關係,0.761023
政治,與鄰國的領土糾紛,中國崛起,出去,0.760827
政治,與鄰國的領土糾紛,中國崛起,尋找,0.760777
政治,與鄰國的領土糾紛,中國崛起,體系,0.760022
政治,與鄰國的領土糾紛,中國崛起,東方,0.759678
政治,與鄰國的領土糾紛,中國崛起,清楚,0.759089
政治,與鄰國的領土糾紛,中國崛起,一樣,0.759049
政治,與鄰國的領土糾紛,中國崛起,保障,0.758701
政治,與鄰國的領土糾紛,中國崛起,盟邦,0.758523
政治,與鄰國的領土糾紛,中國崛起,幻想,0.757972
政治,與鄰國的領土糾紛,中國崛起,抉擇,0.757538
政治,與鄰國的領土糾紛,中國崛起,看待,0.75692
政治,與鄰國的領土糾紛,中國崛起,不破,0.756668
政治,與鄰國的領土糾紛,中國崛起,高雄,0.755935
政治,與鄰國的領土糾紛,中國崛起,博文,0.755855
政治,與鄰國的領土糾紛,中國崛起,不當,0.755768
政治,與鄰國的領土糾紛,中國崛起,變局,0.755767
政治,與鄰國的領土糾紛,中國崛起,蘇起,0.755317
政治,與鄰國的領土糾紛,中國崛起,李肇星,0.755294
政治,與鄰國的領土糾紛,中國崛起,政策,0.754917
政治,與鄰國的領土糾紛,中國崛起,善用,0.75421
政治,與鄰國的領土糾紛,中國崛起,啟示,0.753825
政治,與鄰國的領土糾紛,中國崛起,製造,0.75308
政治,與鄰國的領土糾紛,中國崛起,華語,0.752798
政治,與鄰國的領土糾紛,中國崛起,民主化,0.752394
政治,與鄰國的領土糾紛,中國崛起,營造,0.752328
政治,與鄰國的領土糾紛,中國崛起,vs,0.751671
政治,與鄰國的領土糾紛,中國崛起,之間,0.750916
政治,與鄰國的領土糾紛,中國崛起,勢力,0.75089
政治,與鄰國的領土糾紛,中國崛起,華人,0.749979
政治,與鄰國的領土糾紛,中國崛起,反服貿,0.749614
政治,與鄰國的領土糾紛,中國崛起,四大,0.749576
政治,與鄰國的領土糾紛,中國崛起,一場,0.748977
政治,與鄰國的領土糾紛,中國崛起,勇敢,0.7489
政治,與鄰國的領土糾紛,中國崛起,把握,0.748309
政治,與鄰國的領土糾紛,中國崛起,權力,0.747926
政治,與鄰國的領土糾紛,中國崛起,結合,0.74784
政治,與鄰國的領土糾紛,中國崛起,關係,0.746735
政治,與鄰國的領土糾紛,中國崛起,信念,0.746421
政治,與鄰國的領土糾紛,中國崛起,背後,0.746063
政治,與鄰國的領土糾紛,中國崛起,邁向,0.746019
政治,與鄰國的領土糾紛,中國崛起,期待,0.745549
政治,與鄰國的領土糾紛,中國崛起,選民,0.745541
政治,與鄰國的領土糾紛,中國崛起,失去,0.745452
政治,與鄰國的領土糾紛,中國崛起,國力,0.745325
政治,與鄰國的領土糾紛,中國崛起,提醒,0.745057
政治,與鄰國的領土糾紛,中國崛起,國際化,0.744505
政治,與鄰國的領土糾紛,中國崛起,技術,0.744412
政治,與鄰國的領土糾紛,中國崛起,全世界,0.744074
政治,與鄰國的領土糾紛,中國崛起,增長,0.743965
政治,與鄰國的領土糾紛,中國崛起,朝野,0.743814
政治,與鄰國的領土糾紛,中國崛起,形成,0.743677
政治,與鄰國的領土糾紛,中國崛起,東協加,0.743651
政治,與鄰國的領土糾紛,中國崛起,人民日報,0.743642
政治,與鄰國的領土糾紛,中國崛起,條例,0.743137
政治,與鄰國的領土糾紛,中國崛起,開創,0.742513
政治,與鄰國的領土糾紛,中國崛起,英媒,0.741989
